,short,full
7941,XM_020306514.1,XM_020306514.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7942,XM_020306652.2,XM_020306652.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7943,XM_020306740.1,XM_020306740.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7944,XM_020306826.2,XM_020306826.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7945,XM_020307192.2,XM_020307192.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7946,XM_020307361.1,XM_020307361.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7947,XM_020307789.2,XM_020307789.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7948,XM_020307918.2,XM_020307918.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7949,XM_020308098.1,XM_020308098.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7950,XM_020308203.1,XM_020308203.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7951,XM_020308250.1,XM_020308250.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7952,XM_020308289.1,XM_020308289.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7953,XM_020308294.1,XM_020308294.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7954,XM_020308309.2,XM_020308309.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7955,XM_020308321.1,XM_020308321.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7956,XM_020308596.2,XM_020308596.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7957,XM_020308605.1,XM_020308605.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7958,XM_020308818.1,XM_020308818.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7959,XM_020308886.2,XM_020308886.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7960,XM_020308887.2,XM_020308887.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7961,XM_020309074.2,XM_020309074.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7962,XM_020309075.2,XM_020309075.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7963,XM_020309077.2,XM_020309077.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7964,XM_020309419.2,XM_020309419.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7965,XM_020309423.2,XM_020309423.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7966,XM_020309569.2,XM_020309569.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7967,XM_020309852.2,XM_020309852.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7968,XM_020310112.1,XM_020310112.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7969,XM_020310326.2,XM_020310326.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7970,XM_020310630.2,XM_020310630.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7971,XM_020310782.1,XM_020310782.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7972,XM_020310811.1,XM_020310811.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7973,XM_020311024.1,XM_020311024.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7974,XM_020311054.2,XM_020311054.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7975,XM_020311112.2,XM_020311112.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7976,XM_020311251.2,XM_020311251.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7977,XM_020311475.1,XM_020311475.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7978,XM_020311640.1,XM_020311640.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7979,XM_020311778.2,XM_020311778.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7980,XM_020311784.2,XM_020311784.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7981,XM_020312247.2,XM_020312247.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7982,XM_020312264.2,XM_020312264.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7983,XM_020312274.2,XM_020312274.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7984,XM_020312553.2,XM_020312553.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7985,XM_020312628.2,XM_020312628.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7986,XM_020312716.2,XM_020312716.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7987,XM_020312829.1,XM_020312829.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7988,XM_020313136.1,XM_020313136.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7989,XM_020313250.2,XM_020313250.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7990,XM_020313251.2,XM_020313251.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7991,XM_020313287.2,XM_020313287.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7992,XM_020313361.1,XM_020313361.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7993,XM_020313576.2,XM_020313576.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7994,XM_020313667.2,XM_020313667.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7995,XM_020313668.2,XM_020313668.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7996,XM_020313929.1,XM_020313929.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7997,XM_020314024.1,XM_020314024.1 PREDICTED: Aegilops tauschii subsp. strangulata...
7998,XM_020314033.2,XM_020314033.2 PREDICTED: Aegilops tauschii subsp. strangulata...
7999,XM_020314218.2,XM_020314218.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8000,XM_020314728.2,XM_020314728.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8001,XM_020314824.2,XM_020314824.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8002,XM_020314840.1,XM_020314840.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8003,XM_020314891.2,XM_020314891.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8004,XM_020314900.2,XM_020314900.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8005,XM_020314902.2,XM_020314902.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8006,XM_020314956.1,XM_020314956.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8007,XM_020315138.1,XM_020315138.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8008,XM_020315159.1,XM_020315159.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8009,XM_020315644.2,XM_020315644.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8010,XM_020315860.2,XM_020315860.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8011,XM_020315861.2,XM_020315861.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8012,XM_020315936.1,XM_020315936.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8013,XM_020316361.1,XM_020316361.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8014,XM_020316438.2,XM_020316438.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8015,XM_020316469.1,XM_020316469.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8016,XM_020316758.2,XM_020316758.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8017,XM_020316782.1,XM_020316782.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8018,XM_020316801.2,XM_020316801.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8019,XM_020316804.1,XM_020316804.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8020,XM_020317024.1,XM_020317024.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8021,XM_020317161.1,XM_020317161.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8022,XM_020317162.2,XM_020317162.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8023,XM_020317191.2,XM_020317191.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8024,XM_020317561.2,XM_020317561.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8025,XM_020317799.1,XM_020317799.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8026,XM_020317886.1,XM_020317886.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8027,XM_020318189.2,XM_020318189.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8028,XM_020318226.2,XM_020318226.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8029,XM_020318233.2,XM_020318233.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8030,XM_020318663.2,XM_020318663.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8031,XM_020318785.2,XM_020318785.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8032,XM_020319085.1,XM_020319085.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8033,XM_020319087.2,XM_020319087.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8034,XM_020319088.1,XM_020319088.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8035,XM_020319310.2,XM_020319310.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8036,XM_020319312.2,XM_020319312.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8037,XM_020319585.2,XM_020319585.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8038,XM_020319586.2,XM_020319586.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8039,XM_020319740.2,XM_020319740.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8040,XM_020319808.2,XM_020319808.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8041,XM_020320254.2,XM_020320254.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8042,XM_020320298.2,XM_020320298.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8043,XM_020320689.1,XM_020320689.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8044,XM_020320822.2,XM_020320822.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8045,XM_020320856.2,XM_020320856.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8046,XM_020320862.2,XM_020320862.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8047,XM_020320890.2,XM_020320890.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8048,XM_020321006.2,XM_020321006.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8049,XM_020321141.2,XM_020321141.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8050,XM_020321313.2,XM_020321313.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8051,XM_020321403.2,XM_020321403.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8052,XM_020321670.2,XM_020321670.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8053,XM_020321986.2,XM_020321986.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8054,XM_020322117.2,XM_020322117.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8055,XM_020322577.1,XM_020322577.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8056,XM_020322671.2,XM_020322671.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8057,XM_020322808.2,XM_020322808.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8058,XM_020322850.1,XM_020322850.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8059,XM_020322865.2,XM_020322865.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8060,XM_020323003.2,XM_020323003.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8061,XM_020323124.1,XM_020323124.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8062,XM_020323235.1,XM_020323235.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8063,XM_020323320.1,XM_020323320.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8064,XM_020323370.2,XM_020323370.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8065,XM_020323372.2,XM_020323372.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8066,XM_020323686.2,XM_020323686.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8067,XM_020323921.2,XM_020323921.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8068,XM_020324370.2,XM_020324370.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8069,XM_020324377.2,XM_020324377.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8070,XM_020326193.2,XM_020326193.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8071,XM_020326445.2,XM_020326445.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8072,XM_020326447.2,XM_020326447.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8073,XM_020326533.2,XM_020326533.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8074,XM_020326634.2,XM_020326634.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8075,XM_020326849.2,XM_020326849.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8076,XM_020326851.2,XM_020326851.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8077,XM_020326853.2,XM_020326853.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8078,XM_020327039.1,XM_020327039.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8079,XM_020327174.2,XM_020327174.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8080,XM_020327338.2,XM_020327338.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8081,XM_020327339.2,XM_020327339.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8082,XM_020327762.1,XM_020327762.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8083,XM_020327952.2,XM_020327952.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8084,XM_020327957.2,XM_020327957.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8085,XM_020328466.1,XM_020328466.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8086,XM_020328662.2,XM_020328662.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8087,XM_020328736.2,XM_020328736.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8088,XM_020328740.2,XM_020328740.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8089,XM_020328978.2,XM_020328978.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8090,XM_020329265.2,XM_020329265.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8091,XM_020329271.2,XM_020329271.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8092,XM_020329277.2,XM_020329277.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8093,XM_020329285.2,XM_020329285.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8094,XM_020329936.1,XM_020329936.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8095,XM_020330178.2,XM_020330178.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8096,XM_020330191.2,XM_020330191.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8097,XM_020330192.2,XM_020330192.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8098,XM_020330421.1,XM_020330421.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8099,XM_020330485.2,XM_020330485.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8100,XM_020330486.2,XM_020330486.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8101,XM_020330489.2,XM_020330489.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8102,XM_020330495.1,XM_020330495.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8103,XM_020330538.2,XM_020330538.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8104,XM_020330602.1,XM_020330602.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8105,XM_020330867.2,XM_020330867.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8106,XM_020331078.2,XM_020331078.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8107,XM_020331084.2,XM_020331084.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8108,XM_020331089.2,XM_020331089.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8109,XM_020331113.1,XM_020331113.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8110,XM_020332084.1,XM_020332084.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8111,XM_020332100.2,XM_020332100.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8112,XM_020332274.1,XM_020332274.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8113,XM_020333090.2,XM_020333090.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8114,XM_020333517.1,XM_020333517.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8115,XM_020333936.2,XM_020333936.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8116,XM_020334123.2,XM_020334123.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8117,XM_020334250.1,XM_020334250.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8118,XM_020334758.2,XM_020334758.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8119,XM_020334840.2,XM_020334840.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8120,XM_020335177.2,XM_020335177.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8121,XM_020335325.2,XM_020335325.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8122,XM_020335370.1,XM_020335370.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8123,XM_020335792.1,XM_020335792.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8124,XM_020336056.2,XM_020336056.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8125,XM_020336405.2,XM_020336405.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8126,XM_020336506.1,XM_020336506.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8127,XM_020336641.1,XM_020336641.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8128,XM_020336795.2,XM_020336795.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8129,XM_020336878.2,XM_020336878.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8130,XM_020336889.1,XM_020336889.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8131,XM_020336929.2,XM_020336929.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8132,XM_020336989.2,XM_020336989.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8133,XM_020337209.2,XM_020337209.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8134,XM_020337262.2,XM_020337262.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8135,XM_020337304.1,XM_020337304.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8136,XM_020337308.2,XM_020337308.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8137,XM_020337450.1,XM_020337450.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8138,XM_020337479.2,XM_020337479.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8139,XM_020337541.1,XM_020337541.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8140,XM_020337869.1,XM_020337869.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8141,XM_020337927.2,XM_020337927.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8142,XM_020338005.2,XM_020338005.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8143,XM_020338021.2,XM_020338021.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8144,XM_020338090.1,XM_020338090.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8145,XM_020338118.2,XM_020338118.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8146,XM_020338206.2,XM_020338206.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8147,XM_020338535.2,XM_020338535.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8148,XM_020338916.2,XM_020338916.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8149,XM_020338936.1,XM_020338936.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8150,XM_020339479.1,XM_020339479.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8151,XM_020339962.2,XM_020339962.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8152,XM_020339996.2,XM_020339996.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8153,XM_020340319.2,XM_020340319.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8154,XM_020340328.2,XM_020340328.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8155,XM_020340433.2,XM_020340433.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8156,XM_020340554.2,XM_020340554.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8157,XM_020340782.2,XM_020340782.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8158,XM_020341052.2,XM_020341052.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8159,XM_020341632.2,XM_020341632.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8160,XM_020341844.2,XM_020341844.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8161,XM_020342283.2,XM_020342283.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8162,XM_020342431.2,XM_020342431.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8163,XM_020342621.2,XM_020342621.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8164,XM_020342917.2,XM_020342917.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8165,XM_020343082.2,XM_020343082.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8166,XM_020343156.2,XM_020343156.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8167,XM_020343184.2,XM_020343184.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8168,XM_020343185.1,XM_020343185.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8169,XM_020343457.2,XM_020343457.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8170,XM_020343661.2,XM_020343661.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8171,XM_020343818.2,XM_020343818.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8172,XM_020343843.2,XM_020343843.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8173,XM_020344010.2,XM_020344010.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8174,XM_020344011.2,XM_020344011.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8175,XM_020344104.1,XM_020344104.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8176,XM_020344340.1,XM_020344340.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8177,XM_020344386.2,XM_020344386.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8178,XM_020344525.2,XM_020344525.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8179,XM_020344675.2,XM_020344675.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8180,XM_020344857.1,XM_020344857.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8181,XM_020344932.2,XM_020344932.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8182,XM_020345166.1,XM_020345166.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8183,XM_020345233.1,XM_020345233.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8184,XM_020345301.2,XM_020345301.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8185,XM_020345410.1,XM_020345410.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8186,XM_020345742.2,XM_020345742.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8187,XM_020345743.2,XM_020345743.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8188,XM_020345758.2,XM_020345758.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8189,XM_020345884.2,XM_020345884.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8190,XM_020345950.2,XM_020345950.2 PREDICTED: Aegilops tauschii subsp. strangulata...
8191,XM_020346158.1,XM_020346158.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8192,XM_020346180.1,XM_020346180.1 PREDICTED: Aegilops tauschii subsp. strangulata...
8193,XM_037547843.1,XM_037547843.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8194,XM_037547858.1,XM_037547858.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8195,XM_037547859.1,XM_037547859.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8196,XM_037547860.1,XM_037547860.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8197,XM_037547861.1,XM_037547861.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8198,XM_037548037.1,XM_037548037.1 PREDICTED: Triticum dicoccoides probable leucine-rich...
8199,XM_037548415.1,XM_037548415.1 PREDICTED: Triticum dicoccoides probable leucine-rich...
8200,XM_037548416.1,XM_037548416.1 PREDICTED: Triticum dicoccoides probable leucine-rich...
8201,XM_037548646.1,XM_037548646.1 PREDICTED: Triticum dicoccoides ankyrin repeat...
8202,XM_037548981.1,XM_037548981.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8203,XM_037548982.1,XM_037548982.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8204,XM_037548983.1,XM_037548983.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8205,XM_037549647.1,XM_037549647.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8206,XM_037549648.1,XM_037549648.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8207,XM_037549649.1,XM_037549649.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8208,XM_037549650.1,XM_037549650.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8209,XM_037549651.1,XM_037549651.1 PREDICTED: Triticum dicoccoides tetratricopeptide repeat...
8210,XM_037549889.1,XM_037549889.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8211,XM_037550204.1,XM_037550204.1 PREDICTED: Triticum dicoccoides probable leucine-rich...
8212,XM_037550503.1,XM_037550503.1 PREDICTED: Triticum dicoccoides glycosylphosphatidylinositol anchor...
8213,XM_037550504.1,XM_037550504.1 PREDICTED: Triticum dicoccoides glycosylphosphatidylinositol anchor...
8214,XM_037550746.1,XM_037550746.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8215,XM_037550998.1,XM_037550998.1 PREDICTED: Triticum dicoccoides serine/arginine repetitive...
8216,XM_037551138.1,XM_037551138.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8217,XM_037551208.1,XM_037551208.1 PREDICTED: Triticum dicoccoides probable leucine-rich...
8218,XM_037551390.1,XM_037551390.1 PREDICTED: Triticum dicoccoides serine/threonine-protein phosphatase...
8219,XM_037551392.1,XM_037551392.1 PREDICTED: Triticum dicoccoides serine/threonine-protein phosphatase...
8220,XM_037551493.1,XM_037551493.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8221,XM_037551828.1,XM_037551828.1 PREDICTED: Triticum dicoccoides probably inactive...
8222,XM_037551831.1,XM_037551831.1 PREDICTED: Triticum dicoccoides probably inactive...
8223,XM_037551833.1,XM_037551833.1 PREDICTED: Triticum dicoccoides probably inactive...
8224,XM_037551834.1,XM_037551834.1 PREDICTED: Triticum dicoccoides probably inactive...
8225,XM_037551838.1,XM_037551838.1 PREDICTED: Triticum dicoccoides probably inactive...
8226,XM_037552037.1,XM_037552037.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8227,XM_037552163.1,XM_037552163.1 PREDICTED: Triticum dicoccoides inactive leucine-rich...
8228,XM_037552289.1,XM_037552289.1 PREDICTED: Triticum dicoccoides probable leucine-rich...
8229,XM_037552554.1,XM_037552554.1 PREDICTED: Triticum dicoccoides probably inactive...
8230,XM_037553393.1,XM_037553393.1 PREDICTED: Triticum dicoccoides probable leucine-rich...
8231,XM_037553612.1,XM_037553612.1 PREDICTED: Triticum dicoccoides leucine-rich repeat...
8232,XM_037553626.1,XM_037553626.1 PREDICTED: Triticum dicoccoides ankyrin repeat...
8233,XM_037553628.1,XM_037553628.1 PREDICTED: Triticum dicoccoides ankyrin repeat...
8234,XM_037553704.1,XM_037553704.1 PREDICTED: Triticum dicoccoides cysteine-rich repeat...
8235,XM_037553705.1,XM_037553705.1 PREDICTED: Triticum dicoccoides cysteine-rich repeat...
